source_id,ra_deg,dec_deg,gmag
3072106342082647168,130.24199988077,-03.07499389793,9.064859
3072108987782482944,130.36080941599,-02.97014192462,9.960963
3072114481045320320,130.23225326701,-02.86272953640,11.833429
3072119570581892864,130.33147790755,-02.84584464066,11.898942
3072120287841103744,130.31710380588,-02.85140452979,10.250936
3072121700886746368,130.44167055453,-02.77603423540,10.980466
3072122143267408000,130.44351602784,-02.75678748510,9.631825
3072122147562247296,130.44104714663,-02.76147438775,11.097308
3072127335882677376,130.87962381603,-02.82272927111,11.676364
3072138262280540416,130.82248089504,-02.66377655277,11.046281
3072139735453008512,130.96410374787,-02.60844163819,11.554692
3072143892986016128,130.73813673510,-02.69649633732,8.673732
3072143897276582912,130.73823975369,-02.69669764019,8.680817
3072144618831106048,130.63209474533,-02.70097783833,11.694480
3072146096299866496,130.55966222469,-02.70251544349,9.639940
3072150631786350848,130.84885428886,-02.59962346286,11.441085
3072152384131923712,130.83216176278,-02.57248086759,11.735990
3072152551635417600,130.87221085703,-02.55030785567,11.223882
3072154888097626240,130.73418649875,-02.54098789327,10.183936
3072155785746046592,130.66471836451,-02.51322650362,10.927908
3072166437265091456,131.43744767289,-02.76665594244,11.904808
3072167124459843456,131.50139667333,-02.70993232395,11.840460
3072168082237006336,131.71202849889,-02.77296948509,11.765505
3072168425834389760,131.71627596447,-02.73938285786,11.592179
3072168631993056000,131.62006279393,-02.76797048444,11.789303
3072170766592085888,131.70878340105,-02.70877219599,10.950905
3072172140981639168,131.55964166648,-02.72581002236,11.536620
3072173511075902080,131.58593494902,-02.67323612544,10.545107
3072174958480161536,131.68219176850,-02.60978407110,10.666359
3072175198998342528,131.59889715173,-02.63289095769,10.635960
3072177157503472384,131.33003111893,-02.75785301019,11.862369
3072180627837052800,131.22928401542,-02.75224317741,10.547182
3072182002226452352,131.15881533345,-02.69138928549,10.987532
3072182620701729536,131.19073760548,-02.64392284206,10.849523
3072183750277933696,131.33523882947,-02.60122481114,7.480000
3072183754573061760,131.33652800849,-02.60110016404,6.736117
3072184196953812736,131.24670848346,-02.62299347516,10.465865
3072184269969158528,131.23541452418,-02.60972242971,11.565500
3072191176276533504,131.39600341159,-02.51136583065,11.145188
3072191927895661568,131.47995433936,-02.49928916934,10.315434
3072192172708926080,131.53484363805,-02.49243463453,11.420405
3072193856336247040,131.84488788751,-02.66802841254,10.861289
3072198254383842688,131.75420104800,-02.59636529198,8.770895
3072199010296993408,131.81903604168,-02.52540623074,11.435086
3072206054043330432,132.08366294967,-02.40098838519,10.856487
3072213441386954752,131.63881261193,-02.40856308566,11.575827
3072216288950161280,131.56590680231,-02.41135589755,11.795769
3072222473703062144,131.91283947210,-02.28727079579,10.920213
3072225673453771648,131.78651187231,-02.21349257076,11.979664
3072228078635450880,131.83189770307,-02.16455925483,11.570859
3072233370034526208,131.22033586655,-02.47137617599,11.264458
3072233713631959168,131.03136303406,-02.56917471391,10.817838
3072236836072989824,131.11163010735,-02.47359335693,11.972392
3072238485341148928,131.37271320698,-02.47015373624,11.792328
3072241440278645504,131.31966712344,-02.38272696303,11.750834
3072250343746052480,131.00760865001,-02.36654708460,11.728107
3072250786126762240,131.00858686894,-02.35373943805,11.569687
3072253985878310400,131.01506707209,-02.30601853787,9.829302
3072255390331704576,131.12828347480,-02.38063758010,9.122880
3072256489843330944,131.09254685875,-02.34149074331,11.820716
3072256524203069184,131.09123373246,-02.33401346014,11.700817
3072257628010540160,131.23436160346,-02.30141382110,8.242103
3072259861393568000,131.02636874082,-02.29367583779,10.739738
3072260892185720960,130.99388550495,-02.26649313393,8.651013
3072261098345289472,131.01310491211,-02.23990831368,10.251567
3072261441941520256,131.04391786428,-02.22954353835,11.971364
3072264564382565632,131.45806311365,-02.33964343800,11.832077
3072266698981590912,131.55392634221,-02.27653830799,8.149682
3072269207242339200,131.43663428272,-02.25841572020,11.596872
3072269855782268288,131.39024083168,-02.23930121670,11.816724
3072270920934156672,131.50897298329,-02.21542114780,11.878777
3072278415652179072,131.60332728079,-02.07223643003,9.266497
3072279270350574336,131.60289319345,-02.04358438238,11.703077
3072280545955940480,131.69895805610,-02.00954212306,10.996468
3072290819517741056,131.51049336069,-02.04844846509,5.399880
3072297931983560832,131.53796871820,-01.85857320697,9.153147
3072298138141991936,131.52841680297,-01.85533438325,11.328212
